"","statebin_facility","year","hyads","obs","obs_adjust"
"1","Mid-Atlantic",1999,1,1,1
"2","Mid-Atlantic",2000,0.857594716467224,1.12287110044465,1.3093260474717
"3","Mid-Atlantic",2001,0.900285999937911,1.16238999279855,1.2911341427932
"4","Mid-Atlantic",2002,0.830013317942504,1.22350282442817,1.47407613586379
"5","Mid-Atlantic",2003,0.987770853750091,1.17033694436771,1.18482635919505
"6","Mid-Atlantic",2004,0.920571040226999,1.08785971944588,1.18172272633911
"7","Mid-Atlantic",2005,0.946531607271804,1.22932859064778,1.2987718330834
"8","Mid-Atlantic",2006,0.820972117467032,0.991672170299151,1.20792429998571
"9","Mid-Atlantic",2007,0.808668699734394,1.0958052731236,1.35507318817151
"10","Mid-Atlantic",2008,0.673460255270752,0.893129286335466,1.32617965105662
"11","Mid-Atlantic",2009,0.543757375438428,0.719340252711685,1.32290665874957
"12","Mid-Atlantic",2010,0.397915735197359,0.693332474249065,1.74241029675588
"13","Mid-Atlantic",2011,0.39234660478761,0.617596038396471,1.57410827788556
"14","Mid-Atlantic",2012,0.248400976674767,0.518367423765684,2.08681717239939
"15","Mid-Atlantic",2013,0.221853586030397,0.493490601680525,2.22439767826385
"16","Mid-Atlantic",2014,0.218041596479228,0.477872428528944,2.1916571711328
"17","Mid-Atlantic",2015,0.152311863360943,0.431286580819565,2.831602025625
"18","Mid-Atlantic",2016,0.0940292886670435,0.2968115142047,3.15658576611917
"19","Mid-Atlantic",2017,0.079384989512183,0.264003257786412,3.32560676027924
"20","Mid-Atlantic",2018,0.0798641936373462,0.272167075755537,3.40787358339101
"21","Mid-Atlantic",2019,0.067662565284341,0.279046245024285,4.12408610066199
"22","Mid-Atlantic",2020,0.0506207568210216,0.230255669909716,4.54864139475087
"23","Midwest east",1999,1,1,1
"24","Midwest east",2000,1.82151793012184,1.77847966592007,0.976372308232563
"25","Midwest east",2001,1.94772795919285,2.11999434276392,1.0884447865309
"26","Midwest east",2002,1.8484610400523,2.41659853221562,1.30735702828081
"27","Midwest east",2003,2.22076284424509,2.35640812751267,1.06108049025545
"28","Midwest east",2004,1.89717263345955,2.08381898796234,1.09838132345522
"29","Midwest east",2005,2.31397649900583,3.06353551783838,1.3239268070158
"30","Midwest east",2006,1.79322432763816,2.03603477996402,1.13540439340663
"31","Midwest east",2007,1.789107333916,2.44269632487551,1.36531569602866
"32","Midwest east",2008,1.43913004237041,2.10623228273544,1.46354548979203
"33","Midwest east",2009,1.27194494141581,1.65289954952252,1.29950558055026
"34","Midwest east",2010,1.01044643946416,1.57226494236877,1.55601017625687
"35","Midwest east",2011,1.00112026601323,1.5586918749899,1.55694767942027
"36","Midwest east",2012,0.728595875442972,1.31531914383831,1.80527942604482
"37","Midwest east",2013,0.672696608357525,1.31908509357327,1.96089154781676
"38","Midwest east",2014,0.667330404000691,1.27550028809487,1.91134748311804
"39","Midwest east",2015,0.468236870535477,1.18159351112815,2.52349523389064
"40","Midwest east",2016,0.2829636951917,0.793071586805943,2.80273264833023
"41","Midwest east",2017,0.222064970778431,0.719132206701003,3.2383865144518
"42","Midwest east",2018,0.24811825004852,0.709787755980573,2.86068338722272
"43","Midwest east",2019,0.180807343363946,0.717645526540085,3.96911714528951
"44","Midwest east",2020,0.13915644534379,0.638662612304791,4.58952950922938
"45","Midwest west",1999,1,1,1
"46","Midwest west",2000,1.59284450859351,2.35265650063771,1.47701579654822
"47","Midwest west",2001,1.77678141579039,2.89268632198994,1.6280485017923
"48","Midwest west",2002,1.63562067470551,2.99364322014461,1.83027964028616
"49","Midwest west",2003,1.78633092586415,2.62553886446218,1.46979421698813
"50","Midwest west",2004,1.53566866873446,2.28338959565339,1.48690250842659
"51","Midwest west",2005,1.92187582143574,3.06819984057806,1.59646102331729
"52","Midwest west",2006,1.57677831334777,2.37041268541615,1.50332653953323
"53","Midwest west",2007,1.54668700674292,2.66186176232983,1.72100867901858
"54","Midwest west",2008,1.3963544481308,2.43335696173287,1.74264991599392
"55","Midwest west",2009,1.38399641046861,2.06581641631073,1.49264579061391
"56","Midwest west",2010,1.1601552965904,1.93626739001628,1.66897258988241
"57","Midwest west",2011,1.02384435908745,1.96847179896338,1.92262796731905
"58","Midwest west",2012,0.757676882311122,1.62589064880137,2.14588921314579
"59","Midwest west",2013,0.792022779298864,1.61454830477614,2.03851246072166
"60","Midwest west",2014,0.706491709738679,1.5910170296139,2.25199674346128
"61","Midwest west",2015,0.562642075632043,1.29111415676555,2.29473445496443
"62","Midwest west",2016,0.400130666349478,1.05535579584147,2.63752789924807
"63","Midwest west",2017,0.358335493751237,1.01515503063128,2.83297370295116
"64","Midwest west",2018,0.394084930922773,1.06310450818989,2.69765328428207
"65","Midwest west",2019,0.270575134362648,1.05929024969866,3.91495786260576
"66","Midwest west",2020,0.221571530842297,0.94067812308277,4.24548279964854
"67","Northeast",1999,1,1,1
"68","Northeast",2000,1.21816740281361,1.35832174595616,1.11505343421506
"69","Northeast",2001,1.32234457584754,1.52097364919219,1.15020976905157
"70","Northeast",2002,1.1620083612015,1.51416185216203,1.30305590107493
"71","Northeast",2003,1.26598003570663,1.48755905235608,1.17502568002644
"72","Northeast",2004,1.32690464133258,1.42982547886207,1.07756460737535
"73","Northeast",2005,1.10162163262471,1.54577051868393,1.40317734592865
"74","Northeast",2006,1.06857417714216,1.2171049484818,1.13899902741134
"75","Northeast",2007,1.04844856533757,1.289137014564,1.22956629174168
"76","Northeast",2008,0.941957132560559,1.0756127023855,1.14189135068347
"77","Northeast",2009,0.703338121757092,0.855102810604574,1.21577770940148
"78","Northeast",2010,0.513417038131373,0.737763621694813,1.43696754665558
"79","Northeast",2011,0.514718562358298,0.713960752036613,1.3870895752534
"80","Northeast",2012,0.304400720000828,0.604523481260404,1.9859462923043
"81","Northeast",2013,0.292499875977954,0.572133735236825,1.95601359940388
"82","Northeast",2014,0.243638261212041,0.562190137002164,2.30747885904868
"83","Northeast",2015,0.187173427411835,0.513518544094988,2.74354405534873
"84","Northeast",2016,0.123969926081314,0.352904637419117,2.84669555411078
