,ID,Latitude,Longitude,SOx,CO2,NOx,Height,Diam,Velocity,Temp,PM2.5 pop exposure due to NOx ems,PM2.5 pop exposure due to SOx ems,Total PM2.5 pop exposure
1," ""3-1""",31.0069,-88.0103,1318.529,313140.535,746.898,182.88,7.821168,91.44,291.8166667,7842.28125,38862.85156,46705.13281
2," ""3-2""",31.0069,-88.0103,950.087,224317.022,522.154,182.88,7.821168,91.44,291.8166667,5482.513672,28003.24414,33485.75781
3," ""3-3""",31.0069,-88.0103,3501.089,835789.393,2108.617,182.88,7.821168,91.44,291.8166667,22140.06055,103192.5078,125332.5684
4," ""3-4""",31.0069,-88.0103,5579.822,1160876.45,1703.83,182.88,4.169664,89.3064,331.0111111,17889.87695,164461.9063,182351.7832
5," ""3-5""",31.0069,-88.0103,271.863,2409519.9,900.1,182.88,7.62,98.1456,306.65,9450.87207,8012.999023,17463.87109
6," ""7-1""",34.0128,-85.9708,6298.554,583165.751,1390.798,91.44,4.572,104.5464,282.5944444,43333.32422,249520.125,292853.4492
7," ""7-2""",34.0128,-85.9708,654.646,62084.598,148.259,91.44,4.572,104.5464,282.5944444,4619.330078,25934.10156,30553.43164
8," ""8-10""",33.6446,-87.2003,1029.531,3636668.168,3607.384,230.124,11.5824,94.1832,289.8166667,76947.125,37504.48047,114451.6055
9," ""8-6""",33.6446,-87.2003,3815.09,271202.533,600.42,106.68,7.3152,106.0704,287.0388889,12807.23047,138978.7969,151786.0273
10," ""8-7""",33.6446,-87.2003,4475.401,317610.82,702.778,106.68,7.3152,106.0704,287.0388889,14990.57129,163033.0625,178023.6338
11," ""8-8""",33.6446,-87.2003,177.997,591168.976,655.726,230.124,11.5824,94.1832,289.8166667,13986.93164,6484.200684,20471.13232
12," ""8-9""",33.6446,-87.2003,186.766,640331.81,769.722,230.124,11.5824,94.1832,289.8166667,16418.51953,6803.644043,23222.16357
13," ""10-1""",32.6017,-87.7811,18110.797,1601363.234,2770.673,152.4,7.3914,86.868,284.7055556,42164.125,554199.0625,596363.1875
14," ""10-2""",32.6017,-87.7811,11829.248,1079248.641,1881.816,152.4,7.3914,86.868,284.7055556,28637.49023,361980.6875,390618.1777
15," ""26-1""",33.2442,-86.4567,23337.607,1661720.555,3412.571,228.6,10.1346,83.5152,277.3722222,62727.11719,818892.875,881619.9922
16," ""26-2""",33.2442,-86.4567,24919.431,1781157.672,3693.183,228.6,10.1346,83.5152,277.3722222,67885.10156,874397.4375,942282.5391
17," ""26-3""",33.2442,-86.4567,23268.984,1700152.249,3865.214,228.6,10.11936,79.248,288.2611111,71047.23438,816484.9375,887532.1719
18," ""26-4""",33.2442,-86.4567,17920.676,1303696.101,2939.85,228.6,10.11936,79.248,288.2611111,54037.9375,628818.3125,682856.25
