,ID,Latitude,Longitude,SOx,CO2,NOx,Height,Diam,Velocity,Temp,PM2.5 pop exposure due to NOx ems,PM2.5 pop exposure due to SOx ems,Total PM2.5 pop exposure
960," ""6179-2""",29.9172,-96.7506,11932.606,3822657.3,2033.803,160.02,10.3632,41.4528,285.9277778,42569.67969,413266.9375,455836.6172
961," ""6179-3""",29.9172,-96.7506,2954.766,3484256.6,1876.244,163.068,7.8486,76.2,304.2611111,39271.80078,102333.6563,141605.457
962," ""6181-1""",29.3072,-98.3228,10920.759,3603100.634,2233.694,213.36,7.9248,83.82,310.5944444,35826.23047,409530.9063,445357.1367
963," ""6181-2""",29.3072,-98.3228,9896.057,3281793.616,2009.09,213.36,7.9248,83.82,310.5944444,32223.80664,371104.3438,403328.1504
964," ""6183-SM-1""",28.7044,-98.4781,11826.863,3901767.825,3505.147,137.16,6.096,48.768,299.8166667,33821.92188,352386.625,386208.5469
965," ""6190-2""",31.395,-92.7167,10819.634,3556957.252,7273.896,76.2,5.4864,93.5736,321.4833333,92372.90625,273428.5313,365801.4375
966," ""6193-061B""",35.2972,-101.7475,7191.866,2988206.329,4323.021,28.0416,0.268224,25.908,285.9277778,27946.15625,145259.4219,173205.5781
967," ""6193-062B""",35.2972,-101.7475,8132.582,3135448.065,5013.765,28.0416,0.268224,25.908,285.9277778,32411.4668,164259.75,196671.2168
968," ""6193-063B""",35.2972,-101.7475,5910.736,2330856.628,3891.354,28.0416,0.268224,25.908,285.9277778,25155.64648,119383.5,144539.1465
969," ""6194-171B""",34.1847,-102.5686,9800.699,3179115.117,4313.289,83.2104,6.858,76.2,305.3722222,24866.34375,194256.7188,219123.0625
970," ""6194-172B""",34.1847,-102.5686,10840.548,3945149.24,5164.589,121.92,6.858,76.2,299.8166667,29774.13477,214867.2656,244641.4004
971," ""6195-1""",37.1519,-93.3892,4165.907,1433864.747,2471.463,117.348,3.6576,89.916,298.9,52218.31641,129061.1563,181279.4727
